Country/Territory,Estimate
Aruba,1.06
Andorra,1.94
Afghanistan,-1.46
Angola,-1.05
Anguilla,0.83
Albania,0.11
Netherlands Antilles (former),#N/A
United Arab Emirates,1.43
Argentina,0.03
Armenia,-0.02
American Samoa,0.55
Antigua and Barbuda,-0.01
Australia,1.60
Austria,1.45
Azerbaijan,-0.10
Burundi,-1.42
Belgium,1.17
Benin,-0.57
Burkina Faso,-0.58
Bangladesh,-0.75
Bulgaria,0.27
Bahrain,0.18
"Bahamas, The",0.54
Bosnia and Herzegovina,-0.62
Belarus,-0.30
Belize,-0.59
Bermuda,1.39
Bolivia,-0.32
Brazil,-0.45
Barbados,0.43
Brunei Darussalam,1.25
Bhutan,0.36
South Sudan,-2.45
Botswana,0.33
Central African Republic,-1.72
Canada,1.72
Switzerland,2.04
Chile,1.08
China,0.48
Côte d'Ivoire,-0.57
Cameroon,-0.80
"Congo, Rep.",-1.22
Cook Islands,#N/A
Colombia,-0.09
Comoros,-1.64
Cape Verde,0.32
Costa Rica,0.38
Cuba,-0.24
Cayman Islands,1.20
Cyprus,0.92
Czech Republic,0.92
Germany,1.62
Djibouti,-0.90
Dominica,-0.29
Denmark,1.87
Dominican Republic,-0.40
Algeria,-0.44
Ecuador,-0.26
"Egypt, Arab Rep.",-0.58
Eritrea,-1.73
Spain,1.00
Estonia,1.19
Ethiopia,-0.61
Finland,1.98
Fiji,0.26
France,1.48
"Micronesia, Fed. Sts.",-0.15
Gabon,-0.81
United Kingdom,1.34
Georgia,0.61
Ghana,-0.21
Guinea,-0.97
"Gambia, The",-0.62
Guinea-Bissau,-1.49
Equatorial Guinea,-1.29
Greece,0.34
Grenada,-0.25
Greenland,0.84
Guatemala,-0.68
French Guiana,1.40
Guam,0.27
Guyana,-0.27
"Hong Kong SAR, China",1.90
Honduras,-0.62
Croatia,0.46
Haiti,-1.91
Hungary,0.49
Indonesia,0.18
India,0.28
Ireland,1.42
"Iran, Islamic Rep.",-0.43
Iraq,-1.32
Iceland,1.47
Israel,1.21
Italy,0.41
Jamaica,0.50
Jordan,0.11
Japan,1.68
Kazakhstan,0.02
Kenya,-0.41
Kyrgyz Republic,-0.61
Cambodia,-0.57
Kiribati,-0.28
St. Kitts and Nevis,0.55
"Korea, Rep.",1.18
Kuwait,-0.09
Lao PDR,-0.67
Lebanon,-0.64
Liberia,-1.34
Libya,-1.85
St. Lucia,0.20
Liechtenstein,1.74
Sri Lanka,-0.24
Lesotho,-0.86
Lithuania,1.07
Luxembourg,1.78
Latvia,1.04
Kosovo,-0.43
"Macao SAR, China",1.20
Morocco,-0.21
Monaco,#N/A
Moldova,-0.47
Madagascar,-1.15
Maldives,-0.49
Mexico,-0.15
Marshall Islands,-1.55
"Macedonia, FYR",0.09
Mali,-1.00
Malta,0.97
Myanmar,-1.07
Mongolia,-0.23
Montenegro,0.13
Mozambique,-0.87
Mauritania,-0.73
Martinique,1.11
Mauritius,0.88
Malawi,-0.73
Malaysia,1.08
Namibia,0.11
Niger,-0.77
Nigeria,-1.02
Nicaragua,-0.80
Niue,#N/A
Netherlands,1.85
Norway,1.89
Nepal,-0.90
Nauru,-0.08
New Zealand,1.67
Oman,0.19
Pakistan,-0.63
Panama,-0.02
Palau,-0.01
Peru,-0.25
Philippines,0.05
Papua New Guinea,-0.68
Poland,0.66
Puerto Rico,-0.16
"Korea, Dem. Rep.",-1.57
Portugal,1.21
Paraguay,-0.52
Qatar,0.63
Réunion,1.11
Romania,-0.25
Russian Federation,-0.06
Rwanda,0.21
Samoa,0.59
Saudi Arabia,0.32
Sudan,-1.62
Senegal,-0.27
Singapore,2.23
Solomon Islands,-1.05
Sierra Leone,-1.14
El Salvador,-0.45
San Marino,#N/A
Somalia,-2.19
São Tomé and Principe,-0.64
Suriname,-0.66
Slovak Republic,0.71
Slovenia,1.13
Sweden,1.83
Swaziland,-0.66
Seychelles,0.50
Syrian Arab Republic,-1.67
Chad,-1.53
Togo,-1.06
Thailand,0.35
Tajikistan,-1.10
Turkmenistan,-1.04
Timor-Leste,-0.98
Tonga,0.14
Trinidad and Tobago,0.19
Tunisia,-0.11
Turkey,0.01
Tuvalu,-0.69
"Taiwan, China",1.36
Tanzania,-0.76
Uganda,-0.61
Ukraine,-0.42
Uruguay,0.56
United States,1.58
Uzbekistan,-0.55
St. Vincent and the Grenadines,0.20
"Venezuela, RB",-1.58
Virgin Islands (U.S.),0.83
Vietnam,0.00
Vanuatu,-0.49
West Bank and Gaza,-0.76
"Jersey, Channel Islands",1.26
"Yemen, Rep.",-2.24
Serbia,0.11
South Africa,0.34
"Congo, Dem. Rep.",-1.55
Zambia,-0.56
Zimbabwe,-1.20
